,avg_price_dif,features
1912,31.909,"['bedrooms' 'sqft_lot' 'sqft_above' 'sqft_basement' 'yr_built'
 'yr_renovated']"
1298,31.9098,['sqft_living' 'sqft_lot' 'view' 'sqft_basement' 'yr_built']
1764,31.9113,['bedrooms' 'sqft_living' 'sqft_lot' 'condition' 'sqft_above' 'yr_built']
1766,31.9125,"['bedrooms' 'sqft_living' 'sqft_lot' 'condition' 'sqft_basement'
 'yr_built']"
2249,31.9136,['sqft_living' 'sqft_lot' 'floors' 'condition' 'sqft_basement' 'yr_built']
2247,31.9152,['sqft_living' 'sqft_lot' 'floors' 'condition' 'sqft_above' 'yr_built']
284,31.9182,['bedrooms' 'sqft_living' 'waterfront' 'yr_built']
2424,31.9194,['waterfront' 'view' 'condition' 'sqft_above' 'sqft_basement' 'yr_built']
2428,31.9286,"['waterfront' 'view' 'sqft_above' 'sqft_basement' 'yr_built'
 'yr_renovated']"
1771,31.9286,"['bedrooms' 'sqft_living' 'sqft_lot' 'sqft_above' 'yr_built'
 'yr_renovated']"
1772,31.9293,"['bedrooms' 'sqft_living' 'sqft_lot' 'sqft_basement' 'yr_built'
 'yr_renovated']"
971,31.9298,['bedrooms' 'sqft_lot' 'sqft_above' 'sqft_basement' 'yr_built']
1769,31.9303,"['bedrooms' 'sqft_living' 'sqft_lot' 'sqft_above' 'sqft_basement'
 'yr_built']"
2423,31.9324,"['floors' 'condition' 'sqft_above' 'sqft_basement' 'yr_built'
 'yr_renovated']"
2252,31.9327,['sqft_living' 'sqft_lot' 'floors' 'sqft_above' 'sqft_basement' 'yr_built']
1412,31.9332,['sqft_lot' 'floors' 'sqft_above' 'sqft_basement' 'yr_built']
2327,31.9332,['sqft_living' 'waterfront' 'view' 'condition' 'sqft_above' 'yr_built']
2381,31.9332,"['sqft_lot' 'floors' 'sqft_above' 'sqft_basement' 'yr_built'
 'yr_renovated']"
855,31.9333,['bedrooms' 'sqft_living' 'sqft_lot' 'condition' 'yr_built']
2329,31.9368,['sqft_living' 'waterfront' 'view' 'condition' 'sqft_basement' 'yr_built']
2321,31.9374,"['sqft_living' 'floors' 'condition' 'sqft_above' 'sqft_basement'
 'yr_built']"
1768,31.9383,['bedrooms' 'sqft_living' 'sqft_lot' 'condition' 'yr_built' 'yr_renovated']
1481,31.9384,['floors' 'condition' 'sqft_above' 'sqft_basement' 'yr_built']
2332,31.9422,['sqft_living' 'waterfront' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
2334,31.9428,['sqft_living' 'waterfront' 'view' 'sqft_above' 'yr_built' 'yr_renovated']
862,31.9435,['bedrooms' 'sqft_living' 'sqft_lot' 'yr_built' 'yr_renovated']
2335,31.9462,"['sqft_living' 'waterfront' 'view' 'sqft_basement' 'yr_built'
 'yr_renovated']"
2324,31.9464,"['sqft_living' 'floors' 'condition' 'sqft_basement' 'yr_built'
 'yr_renovated']"
1492,31.9474,['waterfront' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
2255,31.9478,"['sqft_living' 'sqft_lot' 'floors' 'sqft_basement' 'yr_built'
 'yr_renovated']"
